serie,hour,day,month,value
15,01,09,03,22.9418
15,01,10,03,24.0689
15,01,11,03,25.9073
15,01,12,03,22.926
15,01,13,03,21.0381
15,01,14,03,20.7202
15,01,15,03,21.5222
15,01,16,03,22.3617
15,01,17,03,22.0231
15,01,18,03,20.8054
15,01,19,03,20.248
15,01,20,03,21.5626
15,01,21,03,21.6896
15,01,22,03,21.5476
15,01,23,03,19.5543
15,01,24,03,19.2494
15,01,25,03,17.3987
15,01,26,03,16.124
15,02,27,03,18.0176
15,02,28,03,19.5466
15,02,29,03,20.976
15,02,30,03,22.06
15,02,31,03,21.0291
15,02,01,04,19.894
15,02,02,04,19.3716
15,02,03,04,19.9589
15,02,04,04,20.7653
15,02,05,04,21.3166
15,02,06,04,21.5395
15,02,07,04,21.0658
15,02,08,04,21.0799
15,02,09,04,21.3369
15,02,10,04,21.538
15,02,11,04,22.0622
15,02,12,04,22.8823
15,02,13,04,23.5839
15,02,14,04,23.6662
15,02,15,04,23.5385
15,02,16,04,23.6054
15,02,17,04,24.2248
15,02,18,04,25.0545
15,02,19,04,25.7378
15,02,20,04,25.1381
15,02,21,04,22.9116
15,02,22,04,22.3
15,02,23,04,22.5135
15,02,24,04,23.3736
15,02,25,04,24.0823
15,02,26,04,23.8547
15,02,27,04,23.1618
15,02,28,04,20.6986
15,02,29,04,19.9426
15,02,30,04,19.2144
15,02,01,05,18.6221
15,02,02,05,19.7845
15,02,03,05,21.9168
15,02,04,05,22.7662
15,02,05,05,22.8581
15,02,06,05,21.7664
15,02,07,05,21.7483
15,02,08,05,23.4738
15,02,09,05,24.7728
15,02,10,05,24.5181
15,02,11,05,22.8342
15,02,12,05,21.6812
15,02,13,05,21.5718
15,02,14,05,21.9329
15,02,15,05,23.3503
15,02,16,05,24.7633
15,02,17,05,26.1687
15,02,18,05,24.2648
15,02,19,05,24.215
15,02,20,05,24.432
15,02,21,05,24.9324
15,02,22,05,25.1918
15,02,23,05,25.8297
15,02,24,05,27.2062
15,02,25,05,27.9264
15,02,26,05,29.0605
15,02,27,05,29.3819
15,02,28,05,28.9277
15,02,29,05,28.1147
15,02,30,05,27.6268
15,02,31,05,28.1121
15,02,01,06,28.998
15,02,02,06,29.8
15,02,03,06,29.8201
15,02,04,06,29.2986
15,02,05,06,28.6507
15,02,06,06,28.4476
15,02,07,06,28.1333
15,02,08,06,29.2966
15,02,09,06,29.7655
15,02,10,06,30.4101
15,02,11,06,31.4846
15,02,12,06,32.6264
15,02,13,06,33.28
15,02,14,06,33.5356
15,02,15,06,33.8884
15,02,16,06,34.3155
15,02,17,06,34.8443
15,02,18,06,34.5959
15,02,19,06,34.5802
15,02,20,06,33.4662
15,02,21,06,33.5986
15,02,22,06,33.5757
15,02,23,06,33.0144
15,02,24,06,32.7566
15,02,25,06,28.6351
15,02,26,06,29.7637
15,02,27,06,29.6383
15,02,28,06,28.0705
15,02,29,06,26.8361
15,02,30,06,25.7486
15,02,01,07,25.5651
15,02,02,07,26.3779
15,02,03,07,27.9094
15,02,04,07,29.475
15,02,05,07,29.9537
15,02,06,07,29.1493
15,02,07,07,28.9899
15,02,08,07,28.5443
15,02,09,07,28.9095
15,02,10,07,29.0108
15,02,11,07,29.7547
15,02,12,07,30.6718
15,02,13,07,31.9517
15,02,14,07,33.1825
15,02,15,07,33.5709
15,02,16,07,33.9966
15,02,17,07,34.0993
15,02,18,07,33.7709
15,02,19,07,32.9142
15,02,20,07,31.785
15,02,21,07,30.7858
15,02,22,07,30.6107
15,02,23,07,30.7701
15,02,24,07,31.1788
15,02,25,07,31.2987
15,02,26,07,31.5557
15,02,27,07,32.1245
15,02,28,07,32.5546
15,02,29,07,32.8163
15,02,30,07,32.9819
15,02,31,07,32.3631
15,02,01,08,31.3507
15,02,02,08,31.0851
15,02,03,08,31.5101
15,02,04,08,32.4208
15,02,05,08,33.2591
15,02,06,08,33.3061
15,02,07,08,33.0259
15,02,08,08,31.8669
15,02,09,08,30.7905
15,02,10,08,29.4758
15,02,11,08,29.1423
15,02,12,08,29.453
15,02,13,08,30.0832
15,02,14,08,30.7721
15,02,15,08,31.2694
15,02,16,08,31.2248
15,02,17,08,31.5699
15,02,18,08,32.2892
15,02,19,08,32.763
15,02,20,08,33.1426
15,02,21,08,33.5885
15,02,22,08,33.9122
15,02,23,08,34.0527
15,02,24,08,33.548
15,02,25,08,32.7503
15,02,26,08,32.0264
15,02,27,08,31.7537
15,02,28,08,30.6163
15,02,29,08,29.4973
15,02,30,08,28.219
15,02,31,08,28.0123
15,02,01,09,28.0538
15,02,02,09,27.9034
